frame_idx,timestamp,rms_slope,num_centroids,rows_with_centroids,roi_rows,quality,resid,gt_wind
1,1764891869.2095606,0.0,107,107,350,0.3057142857142857,1.9222057239351142,nan
2,1764891869.765711,0.0,108,108,350,0.30857142857142855,2.065614213614768,nan
3,1764891869.9179814,0.0,108,108,350,0.30857142857142855,2.012353588611725,nan
4,1764891870.0423856,0.0,108,108,350,0.30857142857142855,2.0060283496506894,nan
5,1764891870.193867,0.0,108,108,350,0.30857142857142855,1.9665100213153794,nan
6,1764891870.3036447,0.2323137547645715,108,108,350,0.30857142857142855,2.0013532177720545,nan
7,1764891870.410927,0.23217819811495063,108,108,350,0.30857142857142855,1.9797982364122841,nan
8,1764891870.516542,0.23208479004791496,108,108,350,0.30857142857142855,1.979200517693576,nan
9,1764891870.6124775,0.23199153107247453,108,108,350,0.30857142857142855,1.9767811506191648,nan
10,1764891870.7032986,0.23196919560049462,108,108,350,0.30857142857142855,2.014274062853652,nan
11,1764891870.8017867,0.23201591474016173,108,108,350,0.30857142857142855,2.0319801273228584,nan
12,1764891870.8921669,0.23207035544192606,108,108,350,0.30857142857142855,2.0170869692497297,nan
13,1764891870.9827745,0.23193690983583004,108,108,350,0.30857142857142855,2.000118908623525,nan
14,1764891871.0714636,0.23190005094630817,108,108,350,0.30857142857142855,1.9643034195227242,nan
15,1764891871.1590877,0.2318206283346798,108,108,350,0.30857142857142855,1.954004856552855,nan
16,1764891871.2498713,0.23169785766312495,108,108,350,0.30857142857142855,1.971487452787969,nan
17,1764891871.3438904,0.23158252590783532,108,108,350,0.30857142857142855,1.9831118880749212,nan
18,1764891871.437638,0.23151598944862276,108,108,350,0.30857142857142855,1.9893868172795637,nan
19,1764891871.5314267,0.23142030851799267,108,108,350,0.30857142857142855,1.9662111619560476,nan
20,1764891871.6410973,0.2313136058513602,108,108,350,0.30857142857142855,1.9926602446601136,nan
21,1764891871.7397099,0.2309835230159997,108,108,350,0.30857142857142855,2.040746168666541,nan
22,1764891871.84649,0.2309045141545513,108,108,350,0.30857142857142855,2.0615153945502667,nan
23,1764891871.9464133,0.23084788085458408,108,108,350,0.30857142857142855,2.070994358368056,nan
24,1764891872.0547884,0.23077874937805357,108,108,350,0.30857142857142855,2.0688913752671074,nan
25,1764891872.159565,0.23075159768269662,108,108,350,0.30857142857142855,2.071434561385429,nan
26,1764891872.2562053,0.23060761370711963,108,108,350,0.30857142857142855,2.069307731871561,nan
27,1764891872.3498054,0.23063464493254993,108,108,350,0.30857142857142855,2.028416926330947,nan
28,1764891872.4399085,0.23063392797965038,108,108,350,0.30857142857142855,2.021733314891375,nan
29,1764891872.5313132,0.2306654903020738,108,108,350,0.30857142857142855,2.0156336024244434,nan
30,1764891872.6226373,0.23066477239743033,108,108,350,0.30857142857142855,2.0739305545411555,nan
31,1764891872.712664,0.23061088001079486,108,108,350,0.30857142857142855,2.0770817506783708,nan
32,1764891872.7999487,0.2304953624228518,108,108,350,0.30857142857142855,2.065743883997909,nan
33,1764891872.8892632,0.23054233889659975,108,108,350,0.30857142857142855,2.0124746437064034,nan
34,1764891872.9777834,0.23051368328847452,108,108,350,0.30857142857142855,1.9963395021151664,nan
35,1764891873.0666277,0.230530857946969,108,108,350,0.30857142857142855,2.003060779713632,nan
36,1764891873.158374,0.2305815440661961,108,108,350,0.30857142857142855,1.9705172478076203,nan
37,1764891873.2511795,0.2305767992045168,108,108,350,0.30857142857142855,1.990494102379312,nan
38,1764891873.346715,0.23049426922275615,108,108,350,0.30857142857142855,1.9505335715740557,nan
39,1764891873.4419982,0.23051327141528258,108,108,350,0.30857142857142855,1.995958782813295,nan
40,1764891873.5377357,0.23061293987767642,108,108,350,0.30857142857142855,1.99764667366951,nan
41,1764891873.6306944,0.23074682312558295,108,108,350,0.30857142857142855,1.972206461831003,nan
42,1764891873.724275,0.23097394334800359,108,108,350,0.30857142857142855,2.0204353761036025,nan
43,1764891873.8207047,0.2308657635895145,108,108,350,0.30857142857142855,1.896996228209112,nan
44,1764891873.9122932,0.23077447338690557,108,108,350,0.30857142857142855,1.8865474710629542,nan
45,1764891874.0026178,0.2306537608427361,108,108,350,0.30857142857142855,1.905839895360457,nan
46,1764891874.0949264,0.23064286722324107,108,108,350,0.30857142857142855,1.9271729374793867,nan
47,1764891874.1907165,0.23049387482502734,108,108,350,0.30857142857142855,1.9171955218848211,nan
48,1764891874.281071,0.2304092809638448,108,108,350,0.30857142857142855,1.9266400833560804,nan
49,1764891874.367505,0.23024123060487522,108,108,350,0.30857142857142855,1.9553297879510327,nan
50,1764891874.4556186,0.23012384756896997,108,108,350,0.30857142857142855,1.9368412906255126,nan
51,1764891874.548113,0.23007484801916397,108,108,350,0.30857142857142855,1.9388169262368473,nan
52,1764891874.6337762,0.2300524522349459,108,108,350,0.30857142857142855,1.950237446760207,nan
53,1764891874.7224963,0.22984992471439689,108,108,350,0.30857142857142855,1.90882260821069,nan
54,1764891874.813003,0.22973019778872925,108,108,350,0.30857142857142855,1.9190992654128682,nan
55,1764891874.901248,0.22960034676206714,108,108,350,0.30857142857142855,1.9190992654128873,nan
56,1764891874.9911916,0.22946152773910547,108,108,350,0.30857142857142855,1.9000870291156757,nan
57,1764891875.0808856,0.22948204313574308,108,108,350,0.30857142857142855,1.9306203466416563,nan
58,1764891875.1699567,0.22944483181876074,108,108,350,0.30857142857142855,1.9262644214931215,nan
59,1764891875.256724,0.22936034622471257,108,108,350,0.30857142857142855,1.9590860243319472,nan
60,1764891875.3487647,0.22919173025265022,108,108,350,0.30857142857142855,1.93925942274396,nan
61,1764891875.4388509,0.22889784304182917,108,108,350,0.30857142857142855,1.9616409425325843,nan
62,1764891875.529648,0.2285642017920403,108,108,350,0.30857142857142855,1.9574526479633525,nan
63,1764891875.6199508,0.22854047557503795,108,108,350,0.30857142857142855,1.9505813526108786,nan
64,1764891875.7110674,0.22855947342369753,108,108,350,0.30857142857142855,1.9291618635698728,nan
65,1764891875.7994936,0.22854712164606103,108,108,350,0.30857142857142855,1.9462603590758785,nan
66,1764891875.888807,0.22852587992088091,108,108,350,0.30857142857142855,1.9584025937840737,nan
67,1764891875.9800584,0.22852206323819851,108,108,350,0.30857142857142855,1.9597962416642591,nan
68,1764891876.0694492,0.22853691654669453,108,108,350,0.30857142857142855,1.935334761883457,nan
69,1764891876.1576905,0.22887917444081046,107,107,350,0.3057142857142857,1.8474195928236856,nan
70,1764891876.2497752,0.22889804822101834,108,108,350,0.30857142857142855,1.932902016118699,nan
71,1764891876.3405347,0.2291308621752304,107,107,350,0.3057142857142857,1.8161431619177746,nan
72,1764891876.429507,0.22910627112562157,108,108,350,0.30857142857142855,1.928869355413008,nan
73,1764891876.5214438,0.22918637332881223,108,108,350,0.30857142857142855,1.941541562680484,nan
74,1764891876.6139445,0.22921204079364627,108,108,350,0.30857142857142855,1.9142882295635473,nan
75,1764891876.7028522,0.22923675386596326,108,108,350,0.30857142857142855,1.9550565392274786,nan
76,1764891876.7897828,0.22926427454861378,108,108,350,0.30857142857142855,1.9358833763980838,nan
77,1764891876.8803136,0.22922728913585683,108,108,350,0.30857142857142855,1.9630256516834053,nan
78,1764891876.9697282,0.22920504410331416,108,108,350,0.30857142857142855,2.004822532701977,nan
79,1764891877.054904,0.22914491809632823,108,108,350,0.30857142857142855,1.974154987217047,nan
80,1764891877.1451902,0.2291323699977324,108,108,350,0.30857142857142855,2.0045648679473675,nan
81,1764891877.2362707,0.22909443613405445,108,108,350,0.30857142857142855,1.971468399180632,nan
82,1764891877.3266647,0.22901251229447317,108,108,350,0.30857142857142855,1.9453307018184953,nan
83,1764891877.418668,0.22900943770200097,108,108,350,0.30857142857142855,1.9771712203024452,nan
84,1764891877.5100787,0.228990003557142,108,108,350,0.30857142857142855,1.953372588469029,nan
85,1764891877.5983043,0.22903582305324727,108,108,350,0.30857142857142855,1.9728082088586076,nan
86,1764891877.6874268,0.22906178541174543,108,108,350,0.30857142857142855,1.9434218126402811,nan
