laptop_time,raw_line
2025-12-09T16:15:07.751064,10000000438
2025-12-09T16:15:07.761938,10000000439
2025-12-09T16:15:07.774045,10000000440
2025-12-09T16:15:07.785917,10000000441
2025-12-09T16:15:07.797978,10000000442
2025-12-09T16:15:07.809900,10000000443
2025-12-09T16:15:07.821925,10000000444
2025-12-09T16:15:07.833890,10000000445
2025-12-09T16:15:07.845903,10000000446
2025-12-09T16:15:07.857897,10000000447
2025-12-09T16:15:07.869958,10000000448
2025-12-09T16:15:07.881906,10000000449
2025-12-09T16:15:07.893930,10000000450
2025-12-09T16:15:07.906882,10000000451
2025-12-09T16:15:07.917878,10000000452
2025-12-09T16:15:07.929896,10000000453
2025-12-09T16:15:07.945925,10000000454
2025-12-09T16:15:07.957934,10000000455
2025-12-09T16:15:07.969931,10000000456
2025-12-09T16:15:07.981943,10000000457
2025-12-09T16:15:07.993903,10000000458
2025-12-09T16:15:08.005946,10000000459
2025-12-09T16:15:08.017928,10000000460
2025-12-09T16:15:08.029917,10000000461
2025-12-09T16:15:08.041931,10000000462
2025-12-09T16:15:08.054929,10000000463
2025-12-09T16:15:08.065979,10000000464
2025-12-09T16:15:08.077920,10000000465
2025-12-09T16:15:08.089904,10000000466
2025-12-09T16:15:08.101899,10000000467
2025-12-09T16:15:08.113911,10000000468
2025-12-09T16:15:08.129919,10000000469
2025-12-09T16:15:08.141891,10000000470
2025-12-09T16:15:08.160923,10000000471
2025-12-09T16:15:08.173919,10000000472
2025-12-09T16:15:08.185946,10000000473
2025-12-09T16:15:08.197949,10000000474
2025-12-09T16:15:08.212438,10000000475
2025-12-09T16:15:08.222706,10000000476
2025-12-09T16:15:08.236039,10000000477
2025-12-09T16:15:08.245908,10000000478
2025-12-09T16:15:08.258893,10000000479
2025-12-09T16:15:08.269904,10000000480
2025-12-09T16:15:08.283902,10000000481
2025-12-09T16:15:08.293901,10000000482
2025-12-09T16:15:08.305890,10000000483
2025-12-09T16:15:08.317877,10000000484
2025-12-09T16:15:08.329921,10000000485
2025-12-09T16:15:08.341961,10000000486
2025-12-09T16:15:08.353868,10000000487
2025-12-09T16:15:08.365905,10000000488
2025-12-09T16:15:08.377917,10000000489
2025-12-09T16:15:08.389952,10000000490
2025-12-09T16:15:08.401893,10000000491
2025-12-09T16:15:08.413897,10000000492
2025-12-09T16:15:08.425910,10000000493
2025-12-09T16:15:08.441932,10000000494
2025-12-09T16:15:08.456883,10000000495
2025-12-09T16:15:08.469919,10000000496
2025-12-09T16:15:08.481938,10000000497
2025-12-09T16:15:08.493933,10000000498
2025-12-09T16:15:08.505900,10000000499
2025-12-09T16:15:08.517924,10000000500
2025-12-09T16:15:08.530050,10000000501
2025-12-09T16:15:08.542891,10000000502
2025-12-09T16:15:08.553912,10000000503
2025-12-09T16:15:08.565894,10000000504
2025-12-09T16:15:08.577920,10000000505
2025-12-09T16:15:08.589930,10000000506
2025-12-09T16:15:08.601894,10000000507
2025-12-09T16:15:08.613945,10000000508
2025-12-09T16:15:08.625890,10000000509
2025-12-09T16:15:08.641922,10000000510
2025-12-09T16:15:08.653925,10000000511
2025-12-09T16:15:08.665925,10000000512
2025-12-09T16:15:08.677926,10000000513
2025-12-09T16:15:08.689916,10000000514
2025-12-09T16:15:08.701892,10000000515
2025-12-09T16:15:08.713909,10000000516
2025-12-09T16:15:08.725914,10000000517
2025-12-09T16:15:08.737896,10000000518
2025-12-09T16:15:08.749886,10000000519
2025-12-09T16:15:08.761919,10000000520
2025-12-09T16:15:08.773934,10000000521
2025-12-09T16:15:08.785891,10000000522
2025-12-09T16:15:08.801893,10000000523
2025-12-09T16:15:08.813940,10000000524
2025-12-09T16:15:08.829941,10000000525
2025-12-09T16:15:08.844956,10000000526
2025-12-09T16:15:08.861937,10000000527
2025-12-09T16:15:08.873957,10000000528
2025-12-09T16:15:08.885910,10000000529
2025-12-09T16:15:08.897905,10000000530
2025-12-09T16:15:08.909959,10000000531
2025-12-09T16:15:08.922924,10000000532
2025-12-09T16:15:08.934869,10000000533
2025-12-09T16:15:08.945895,10000000534
2025-12-09T16:15:08.957984,10000000535
2025-12-09T16:15:08.974010,10000000536
2025-12-09T16:15:08.989925,10000000537
2025-12-09T16:15:09.001902,10000000538
2025-12-09T16:15:09.013905,10000000539
2025-12-09T16:15:09.025911,10000000540
2025-12-09T16:15:09.037933,10000000541
2025-12-09T16:15:09.049936,10000000542
