laptop_time,raw_line
2025-12-09T16:15:06.051192,-0.35
2025-12-09T16:15:06.056300,-0.35
2025-12-09T16:15:06.061172,-0.34
2025-12-09T16:15:06.066122,-0.34
2025-12-09T16:15:06.071149,-0.34
2025-12-09T16:15:06.076167,-0.34
2025-12-09T16:15:06.081187,-0.34
2025-12-09T16:15:06.086143,-0.35
2025-12-09T16:15:06.091147,-0.35
2025-12-09T16:15:06.095189,-0.35
2025-12-09T16:15:06.100184,-0.34
2025-12-09T16:15:06.105169,-0.34
2025-12-09T16:15:06.110207,-0.34
2025-12-09T16:15:06.115192,-0.34
2025-12-09T16:15:06.120235,-0.34
2025-12-09T16:15:06.125177,-0.35
2025-12-09T16:15:06.130172,-0.35
2025-12-09T16:15:06.135135,-0.35
2025-12-09T16:15:06.140172,-0.35
2025-12-09T16:15:06.145172,-0.35
2025-12-09T16:15:06.150132,-0.34
2025-12-09T16:15:06.155134,-0.34
2025-12-09T16:15:06.159161,-0.34
2025-12-09T16:15:06.164182,-0.34
2025-12-09T16:15:06.169128,-0.34
2025-12-09T16:15:06.174167,-0.34
2025-12-09T16:15:06.179214,-0.34
2025-12-09T16:15:06.184175,-0.34
2025-12-09T16:15:06.189173,-0.35
2025-12-09T16:15:06.194199,-0.35
2025-12-09T16:15:06.199174,-0.34
2025-12-09T16:15:06.204168,-0.34
2025-12-09T16:15:06.209137,-0.34
2025-12-09T16:15:06.214131,-0.35
2025-12-09T16:15:06.218165,-0.35
2025-12-09T16:15:06.223273,-0.35
2025-12-09T16:15:06.228195,-0.35
2025-12-09T16:15:06.233163,-0.35
2025-12-09T16:15:06.238258,-0.34
2025-12-09T16:15:06.243245,-0.34
2025-12-09T16:15:06.248181,-0.34
2025-12-09T16:15:06.253156,-0.34
2025-12-09T16:15:06.258131,-0.34
2025-12-09T16:15:06.263193,-0.34
2025-12-09T16:15:06.268164,-0.34
2025-12-09T16:15:06.273159,-0.34
2025-12-09T16:15:06.278181,-0.34
2025-12-09T16:15:06.282189,-0.34
2025-12-09T16:15:06.287259,-0.34
2025-12-09T16:15:06.292191,-0.34
2025-12-09T16:15:06.297205,-0.34
2025-12-09T16:15:06.302237,-0.35
2025-12-09T16:15:06.307167,-0.35
2025-12-09T16:15:06.312206,-0.35
2025-12-09T16:15:06.317153,-0.35
2025-12-09T16:15:06.322179,-0.35
2025-12-09T16:15:06.327164,-0.35
2025-12-09T16:15:06.332173,-0.35
2025-12-09T16:15:06.337157,-0.35
2025-12-09T16:15:06.342154,-0.35
2025-12-09T16:15:06.346231,-0.35
